LandmarkID,Name,Functn,Structure,EditBy,EditDate,Location 1,EditState
7001574,Monument Heights Baptist Church,6600: Religious institutions,"3500: Churches, synagogues, temples, mosques, etc",georgeae,09/07/2007 10:19:08 AM,"(37.58364524, -77.5091866799999)",complete
7000510,Weinstein Jewish Community Center,6600: Religious institutions,3200: Indoor games facility,georgeae,09/07/2007 10:19:04 AM,"(37.5811680799999, -77.5074310499999)",complete
7001587,Church of Jesus Christ of Latter Day Saints Grace Street,6600: Religious institutions,"3500: Churches, synagogues, temples, mosques, etc",georgeae,09/07/2007 09:41:53 AM,"(37.54652738, -77.4453903299999)",complete
7000228,Church of God Prophecy ,6600: Religious institutions,"3500: Churches, synagogues, temples, mosques, etc",georgeae,09/07/2007 09:39:54 AM,"(37.5202084299999, -77.4435338499999)",complete
7000046,Church of Christ Forest Hill,6600: Religious institutions,"3500: Churches, synagogues, temples, mosques, etc",georgeae,09/06/2007 08:55:55 AM,"(37.51695492, -77.47832997)",complete
7001547,Westhampton Lake,5500: Natural and other recreational parks,9100: Not applicable to this dimension,georgeae,09/06/2007 08:38:25 AM,"(37.57730946, -77.54072788)",needs research
7001546,Westhampton Lake Gazebo,"5000: Arts, entertainment, and recreation","6970: Outdoor stage, bandstand, or similar structure",georgeae,09/06/2007 08:38:21 AM,"(37.57817087, -77.54219741)",needs research
7001434,Paisley Hall,6130: Colleges and Universities,1100: Single-family buildings,georgeae,09/06/2007 08:38:16 AM,"(37.5805166, -77.4514652999999)",complete
7001941,Virginia Department of Alcoholic Beverage Control,6200: Public administration,2730: Warehouse structure,georgeae,09/06/2007 08:32:27 AM,"(37.57143697, -77.46005074)",incomplete
7001414,Bryan Park Playground,"5300: Amusement, sports, or recreation establishment",6940: Playground equipment,georgeae,09/06/2007 08:30:48 AM,"(37.5948728899999, -77.4716360299999)",complete
7001413,Bryan Park Soccer Fields,"5300: Amusement, sports, or recreation establishment",6980: Other installed recreational or athletic equipment,georgeae,09/06/2007 08:30:41 AM,"(37.5928347999999, -77.47189774)",complete
7001412,Bryan Park Tennis Courts,"5370: Fitness, recreational sports, gym, or athletic club",6982: Tennis courts,georgeae,09/06/2007 08:30:33 AM,"(37.59534132, -77.4724782199999)",complete
7000234,Ancarrows Boat Launch,"5300: Amusement, sports, or recreation establishment","5520: Pier, dock, wharf, or jetty",georgeae,09/06/2007 08:30:14 AM,"(37.51988455, -77.41850456)",needs research
